Image_Number,0_Dirt,1_Bush,2_Fence,3_Gravel,4_Water,5_Tree-trunk,6_Tree-Foliage,7_Other-object,8_Other-terrain,9_Rock,10_Ignore,11_Structure,12_Mud,13_Log,14_Grass,15_Background,16_Sky
50,0.7900046274872744,0.17663499161542762,0.5975609756097561,,,0.6636413641364136,0.8147341447789879,,,,,0.7587096774193548,0.11153119092627599,0.0,0.7562405035815064,,0.3449612403100775
51,0.9159033154068908,,,,,0.7439554612937433,0.7851661550780729,,,,,,0.7861194527861195,,0.4761519805982215,,0.06101190476190476
52,0.8140446051838457,,,,,0.5262592898431049,0.7939704480457579,,,,,,0.30930760499432464,,0.7993173321774937,,0.45425361155698235
53,0.5243553008595988,,,0.0,,0.017741385192766974,0.8831239102988035,,,0.0,,,,0.0,0.9646582402748803,,0.9597628884497934
54,0.0,,,,,0.02696871628910464,0.9446140916094691,,,,,,,0.0,0.8816553428042001,,0.9642201210801986
55,0.9154002911208151,,,,,0.5243591665417479,0.8093610307651854,,,,,,,,0.7008130081300813,,0.7424714434060229
56,0.8991389913899139,,,,,0.2618502202643172,0.7534593030325138,,,,,,0.0938715953307393,,0.5260289967889462,,0.32011331444759206
57,0.9030612244897959,,,,,0.29374747882210567,0.7735567024846998,,,,,,0.06153846153846154,,0.7379762392462106,,0.03807106598984772
58,0.9405546403075233,,,,,0.1992767177952363,0.8041571523079878,0.14895591647331788,,,,,0.19642857142857142,,0.7187428045130094,,0.5633484162895928
59,0.7577706323687031,,,,,0.32788995798888737,0.7402949441695058,,,,,,0.29898804047838085,,0.5235051839227383,,0.7427283460341312
60,0.9741472821501748,,,,,0.24911299126637554,0.6568899897299583,,,,,,0.4347069065583285,,0.7934173669467787,,0.5389473684210526
61,0.9218211962759852,,,,,0.5193070340221249,0.8606508624352112,0.0,,,,,,,0.896000875321407,,0.3763955342902711
62,0.6543909348441926,0.0,0.7484035759897829,,,0.361510161177295,0.803527002928161,0.8397816282933777,,,,0.6953846153846154,,,0.0,,0.33588652482269504
63,0.8075726141078838,,,,,0.4753324339949894,0.7859814841905081,,,,,,0.17557251908396945,,0.7099341041899788,,0.4818430765567329
64,0.7501017501017501,,,,,0.45611494764981064,0.8266362883181442,0.7525336091003102,,,,,0.0,,0.6634403124469349,,0.815028901734104
65,0.3611874656404618,,,,,0.032224532224532226,0.9131735300143413,,,0.22857142857142856,,,,0.2570480928689884,0.9372309281901153,,0.9092213454003643
66,0.7906881485527034,,,,,0.516395052032201,0.6718897425529047,,,,,,0.0,,0.6679209783631233,,0.037107516650808754
67,0.18216080402010051,,,,,0.03705752212389381,0.8976772774327122,0.0,,0.0,,,0.0,0.0,0.9448717120144768,,0.890382626680455
