Image_Number,0_Dirt,1_Bush,2_Fence,3_Gravel,4_Water,5_Tree-trunk,6_Tree-Foliage,7_Other-object,8_Other-terrain,9_Rock,10_Ignore,11_Structure,12_Mud,13_Log,14_Grass,15_Background,16_Sky
20,,,,,,0.05715841045182363,0.8739825143201688,,,0.06172839506172839,,,,0.0859375,0.9655500570993528,,0.9328114807566862
21,0.7464715107161526,,,,,0.4034151547491996,0.8051897502432696,,0.5333511920707206,,,0.0,0.0,0.43092298647854205,0.46913193356314636,,0.630335681723995
22,0.9545152170297688,,,,,0.5866547245857591,0.8518993656902573,0.0,,,,,0.08733624454148471,,0.7939145043867837,,
23,0.8897716510575607,,,,,0.4986884290294375,0.8106431317721077,0.6225806451612903,,,,0.0,0.5628342245989305,,0.5023830155979203,,0.47452830188679246
24,0.4760677831731246,,,0.0,,0.21117502054231718,0.883992249659892,0.4521402452140245,,,,,,0.46745562130177515,0.6855507684393286,,0.1565217391304348
25,0.8685524126455907,,,,,0.5169672290091138,0.7909064818990611,,,,,,0.0,,0.8220651897122485,,0.6119904076738609
26,0.5464716006884681,,,0.6309403437815976,,0.03492063492063492,0.9159110576018661,,,,,,,0.0,0.8964492413577351,,0.9514055212403882
27,0.8784962406015038,,,,,0.48718480855037877,0.8125711606724265,0.8762454531077021,,,,,,,0.1486013986013986,,0.5162064825930373
28,0.9547812469413722,,,,,0.41524807216644843,0.6181764964144593,,,,,,,,0.8463343108504399,,0.4259567387687188
29,0.9490682359534819,,,,,0.41223503161026404,0.748786097623307,0.2629179331306991,,,,,0.5577889447236181,0.0,0.593945720250522,,0.49648162627052383
30,0.8737133808392715,,,,,0.41134913400182316,0.7979161269896095,,,,,,0.0,,0.5797833935018051,,0.7940451355964346
31,0.7349129951869678,,0.9578591549295775,,,0.6826173011992083,0.843252766613445,0.8713867057413082,,,,0.6542185338865837,0.0,,0.0,,0.45161290322580644
32,0.6111111111111112,,,,,0.1896148640334687,0.7729036012154911,0.7789170137776353,,,,,,0.0,0.913451511991658,,0.9570950600275536
33,0.9238087871287128,,,,,0.8054667054376272,0.8769874476987448,,,,,,0.37796610169491524,,0.7819982773471146,,0.5923507462686567
34,0.7308139534883721,,,,,0.33715828552143096,0.7747088294619038,,,,,,0.0625,,0.8030452238466783,,0.0
35,0.5343207063514668,,,,,0.5531368905406601,0.7665224705599616,,,,,,0.7653256704980843,,0.5313108614232209,,0.29533678756476683
36,0.9008353320651724,,,,,0.3568927093282394,0.7627465061039607,,,,,,0.19646017699115045,,0.5911082474226804,,0.3830104321907601
37,0.9272044684552697,,,,,0.38238130961311756,0.7320908990460756,0.0,,,,,0.0,,0.5656363289448578,,0.5339712918660288
38,0.6970486111111112,,,,,0.6615839243498818,0.7870908046710484,,,,,,,0.25675675675675674,0.8372162188956082,,0.32438899333447274
39,0.9081761006289308,,,,,0.48552100640873486,0.8663241193603342,0.0,,,,,0.38037486218302097,,0.5443037974683544,,0.0
40,0.31050656660412757,,,,,0.3954382153897569,0.7361071620383534,,,,,,0.17256637168141592,,0.5125604247563198,,0.47070506454816285
41,0.8223733938019653,,,,,0.4017051153460381,0.8857229310605679,,,,,,,,0.8022342995169082,,0.7837892603850051
42,0.3090745732255166,,,,,0.6190605928509154,0.7747993579454253,,,,,,0.059602649006622516,,0.7140912185159973,,0.034108527131782945
43,0.6732140769320706,,,,,0.5191242416249011,0.7646607405512567,,,,,0.5076923076923077,0.0,,0.6274294096076274,,0.08797653958944282
44,0.8888128634964078,,,,,0.45552367288378764,0.847558939424297,,,,,0.7526315789473684,,,0.7819951338199513,,0.3432203389830508
45,0.8770348837209302,,,,,0.41651406692192444,0.7554676527073122,0.0,,,,,0.6346730653869226,,0.6463996679809089,,0.5538123627235645
46,0.7442473633748802,,,,,0.05161290322580645,0.9156424848166037,,,0.26988636363636365,,,0.0,0.07598039215686274,0.8821637979950823,,0.9355765029028029
47,,,0.6918316831683168,,,0.4836136776435284,0.7863173847153063,0.8011040193203381,,,,,,,,,0.0
48,0.6309884778653729,,,0.0,,0.4072414628239283,0.8529570375696567,,0.6663346613545816,,,0.0,0.0,0.14627659574468085,0.38999557326250556,,0.47494126859827723
49,0.6548340548340549,,,0.5322349570200573,,0.0,0.9200271752317174,,,0.11864406779661017,,,,0.0,0.8812707348949432,,0.9371011850501367
