Image_Number,0_Dirt,1_Bush,2_Fence,3_Gravel,4_Water,5_Tree-trunk,6_Tree-Foliage,7_Other-object,8_Other-terrain,9_Rock,10_Ignore,11_Structure,12_Mud,13_Log,14_Grass,15_Background,16_Sky
0,0.8537469118858084,,,,,0.50801146905043,0.8648082245947014,,,,,,0.0,,0.47506561679790027,,0.4972477064220184
1,0.8621659634317862,,,,,0.37649910691502936,0.8501200192030725,,,,,,0.0,,0.40389211334926595,,0.5711307972902553
2,0.8521598053133239,,,,,0.47260399486897564,0.8113387978142077,0.7452021233156391,,,,,,,0.6626760563380282,,0.770394541679027
3,,,,,,0.5944951628287233,0.7950076380537588,0.0,,,,,,,0.8959068791145883,,0.30921985815602837
4,0.8012733060482037,0.10445859872611465,0.6970051474029013,,,0.6241384063964709,0.8047328185624832,0.0,,,,,0.2119815668202765,,0.6785390884394809,,0.1244196843082637
5,0.749034749034749,,,,,0.48435998718906803,0.8261688326784925,,,,,,,,0.0,,0.49989170457006715
6,0.8763975155279503,,,,,0.44982058108577383,0.8330721003134797,,,,,,0.0,,0.8811605723370429,,0.6317606444188723
7,0.742960944595822,,,,,0.4302517054810633,0.8695368558382257,,,,,,,,0.69874715261959,,0.6277128547579299
8,0.8620526191040531,,,,,0.27059773828756056,0.8708099847172694,,,0.2765151515151515,,,,0.16494845360824742,0.827286282306163,,0.941749489896663
9,,,,,,0.5946025878003697,0.8024958542960735,,,,,,,,0.68958658900412,,0.44027125717266563
10,0.0,,,,,0.5994546953268658,0.7837780408584525,,,,,,0.0,,0.7647606847560265,,0.3527315914489311
11,0.8202479338842975,,,,,0.5303971899486625,0.7610472863471027,0.0,,,,,,,0.5241840635107321,,0.25426136363636365
12,0.8161201348452345,,,,,0.3929932260795936,0.7896268298536117,0.0,,,,,0.34459459459459457,,0.7532330430192663,,0.4049247606019152
13,0.7917319135609145,,,,,0.44988829828210464,0.7348155092747606,,,,,,0.2185929648241206,0.0,0.6273784929868436,,0.3042406311637081
14,0.5087336244541485,,,,,0.09345794392523364,0.8766355140186916,,,0.45342706502636204,,,,0.10144927536231885,0.9125181246979217,,0.911737500608539
15,0.6906456532791052,,,,,0.4415595923792645,0.6962223527109024,0.0,,,,,,,0.7074127606855255,,0.5613005193045835
16,0.9468822170900693,,,,,0.5136711629602625,0.8615138592750533,,,,,,,0.0,0.660024650780608,,0.0
17,0.6852966466036113,,,,,0.4496762801648028,0.8394316059757236,,,,,0.0,0.22407732864674867,0.0,0.7008667135160459,,0.45050878815911194
18,0.8678815489749431,,,,,0.6555802332037757,0.7990108426859426,,,,,,,,0.8143568607247124,,0.004201680672268907
19,0.0,,,,,0.0,0.96303180503924,,,0.0,,,,0.0,0.9691772309221973,,0.9566519224225927
20,0.36722606120434353,,,0.32887700534759357,,0.1331309627059844,0.8393215800044633,,,0.0,,,,0.17391304347826086,0.7474379016849053,,0.9310747663551402
21,0.7496684350132626,,,,,0.4042901832265753,0.8609627096912064,,,,,,,0.0,0.7428835917611664,,0.473421926910299
22,,,,,,0.0,0.9003655676645055,0.0,,,,,,,0.9613892958717573,,0.9621521696828177
23,0.44593202883625127,,,,,0.15074183976261127,0.8662267239615306,0.0,,0.0,,,,0.16182572614107885,0.8556998556998557,,0.9304484721269124
24,0.9441539659583936,,,,,0.16451831750339213,0.8355746353574015,0.0,,0.15920398009950248,,,,0.060810810810810814,0.9145098039215687,,0.9454177897574124
25,0.9499105545617174,,,,,0.45931632161771785,0.8266189967196196,,,,,,0.0,,0.7056638811513464,,0.5962360992301112
26,0.1490066225165563,,,,,0.5014208839712195,0.7338959544394936,,,,,,0.319060773480663,,0.6229077781424351,,0.5786787638219449
27,0.7002629272567923,,,,,0.4349762014432673,0.7981631037212985,,,,,,0.6238361266294227,,0.8032895280601703,,0.10964912280701754
28,0.8291410471399292,,,,,0.2535994764397906,0.7961401189689359,0.0,,,,,0.23011363636363635,0.0,0.18632330664358365,,0.35714285714285715
29,0.7574215436810857,,,,,0.08881578947368421,0.9351321063747252,,,0.0,,,,0.0,0.9029298609055934,,0.9530051941627504
30,0.8812440089466397,,,,,0.4363826329231484,0.8114551671732523,,,,,,,,0.6548170276325617,,0.4603174603174603
31,0.8008867392180572,,,,,0.7010354223433243,0.7750526397878812,0.5470902901604798,,,,,,,0.37116510019507004,,0.4968
32,0.7674133169683952,,,,,0.4125,0.8695664790203702,0.0,,,,,,0.0,0.8655085458111516,,0.4506057781919851
33,0.9034248300176279,,,,,0.4403014676715589,0.8461985902963115,0.8316273549918409,,,,,,,0.6334397810218978,,0.693050193050193
34,0.6699266503667481,,,,,0.0,0.9430846049093893,,,,,,,,0.9064653425212809,,0.9619386637458927
35,0.8828142339276467,,,,,0.5505374121537826,0.826727232764305,0.0,,,,,0.0,,0.5862815884476534,,0.3992673992673993
36,0.048209366391184574,,,,,0.048574445617740235,0.929567614267495,,,0.0,,,,0.0,0.9273062730627306,,0.9575478927203065
37,0.4567404426559356,,,,,0.11507936507936507,0.9440814040328603,,,,,,,0.12721893491124261,0.9724126673196213,,0.9070335837784014
38,0.8052241212512092,,,,,0.04713275726630008,0.9073815271248888,,,0.0,,,,0.0,0.9189263466471235,,0.9484969368855962
39,,,,,,0.33656528091379995,0.8207659655649354,,,,,,,,0.0,,0.6720020007502814
40,0.9270339652448657,,,,,0.31384229503056904,0.8205950808328616,,,,,,0.4087912087912088,,0.708667152221413,,0.503273007316134
41,0.6767676767676768,,,,,0.0,0.9519015220041688,,,,,,,0.0,0.8982476932193346,,0.9561715028150715
42,0.8413781895010564,,,,,0.3599695585996956,0.9096884649484851,,,,,,0.12753378378378377,0.0,0.5,,0.43538461538461537
43,0.7084548104956269,,,,,0.5897860417727967,0.7950226839371425,,,,,,0.1408284023668639,,0.8011515933684106,,0.19621749408983452
44,0.9730181970299101,,,,,0.2921974522292994,0.8938796800741857,,,0.18098159509202455,,,,0.14713896457765668,0.9253883001887067,,0.9317505687452604
45,0.8694945848375452,,,,,0.6263851872632907,0.7819516743065806,,,,,,0.0,,0.742841204908888,,0.30975143403441685
46,0.35831180017226527,,,,,0.09206081081081081,0.9229614412136536,,,0.0,,,,,0.9285714285714286,,0.9457690052765292
47,0.818209044624139,,,,,0.6069611050527081,0.8406345296739386,,,,,,,,0.7182727020272147,,0.3157894736842105
48,0.7608055009823183,,,,,0.598064085447263,0.7079715864246251,,,,,,,,0.3090332805071315,,0.3377777777777778
49,0.5768960674157303,,,,,0.19523326572008112,0.7514593010258576,0.0,,,,,0.00784313725490196,0.0,0.2664245625619016,,0.9049460286772998
50,0.5560235888795282,,,,,0.016129032258064516,0.9191580093453704,,,0.0,,,,0.0,0.9270801350936445,,0.9381880298620777
51,0.2686962276637988,,,,,0.4908218356328734,0.7596525385652239,,,,,,0.09126984126984126,,0.6741519914903675,,0.008264462809917356
52,0.3633720930232558,,,,,0.4853343276162068,0.8409018968078112,,,,,,,,0.06505102040816327,,0.6958831341301461
53,0.6749489448604493,,,,,0.35968379446640314,0.8043033422211199,0.0,,,,,,,0.7170382835506941,,0.8512630662020906
54,0.3090909090909091,,,,,0.20806451612903226,0.9400789690632186,,,,,,,0.08536585365853659,0.9634876943005182,,0.9383726215988051
55,0.4771615570099897,,,,,0.6026967701473817,0.7560893098782138,,,,,,0.40779014308426076,0.0,0.2067074842364982,,0.20406905055487054
56,0.9253228523301515,,,,,0.478032054860059,0.766985153608702,0.0,,,,,0.7079207920792079,,0.6745537567455375,,0.5780094149293881
