Image_Number,0_Dirt,1_Bush,2_Fence,3_Gravel,4_Water,5_Tree-trunk,6_Tree-Foliage,7_Other-object,8_Other-terrain,9_Rock,10_Ignore,11_Structure,12_Mud,13_Log,14_Grass,15_Background,16_Sky
88,0.9478584729981379,,,,,0.46712122963134173,0.8024679105465131,0.6406096361848574,,,,,0.5441319107662463,,0.8659682080924855,,0.5759212198221093
89,0.7429230769230769,,,,,0.7769661387220098,0.8322361509909657,,,,,,0.4742028985507246,,0.8590927073717526,,0.7017095382648986
90,0.8,,,,,0.40945303608488987,0.7489013769409008,0.8346132234500843,,,,,,,0.46754563894523327,,0.20465116279069767
91,0.6585512113216598,,,,,0.8133399701343952,0.7354374564864238,0.5401002506265664,,,,,0.4264705882352941,,0.6880270934324988,,0.0
92,0.8529650690495532,,,,,0.5837666088965916,0.8705039903793593,,,,,0.0,0.0,0.35294117647058826,0.5434782608695652,,0.677449168207024
93,0.6982681663988574,,,0.8360295272498822,,0.26732673267326734,0.9420964026227184,,,0.0,,,,0.2,0.8796244551246227,,0.951230065521078
94,0.6556510244547257,,,,,0.6451158940397351,0.8312548835755587,,,,,,0.0,,0.7127993930855099,,0.5169104204753199
95,0.9615055603079555,,,,,0.6107315447425429,0.8537847684034002,,,,,,0.0,,0.5869132290184922,,0.29377431906614787
96,0.8094956315917714,,,,,0.5856647685070562,0.85778083132944,,,,,0.0,0.2760849492151431,0.0,0.5710837921411871,,0.5517241379310345
97,0.903830668353848,,,,,0.5838037565431592,0.8062756134893596,,,,,,0.0,,0.8393365314253192,,0.0
98,0.7732164208848147,,,,,0.5778561354019746,0.8147125885035401,0.0,,,,,0.0,,0.6328129220463509,,0.6011939148854227
99,0.8445786833213883,,,0.8590700344431688,,0.0962406015037594,0.9160942100098135,0.7594159966144731,,,,,,0.0,0.8860443903922165,,0.9289714117300324
100,0.9172973465852102,,,,,0.5818120064532564,0.7859845257166229,,,,,,0.7502605071205279,,0.5748569612205976,,0.661387220098307
101,0.0,,,,,0.36129546057870987,0.9319314883339611,0.9484795878367027,,,,,,,0.0,,0.7384208204675783
102,0.9492608140171565,,,,,0.7087044712937649,0.8744761581153019,0.5967272727272728,,,,,0.17724867724867724,,0.8178807947019867,,0.41648106904231624
103,0.905708245243129,,,,,0.4762148337595908,0.8362674107044,0.0,,,,,,,0.7378969072164948,,0.4775510204081633
104,0.749400479616307,,,,,0.5109204368174727,0.8286660904638433,0.0,,,,,0.6596812922942589,,0.9218925831202046,,0.0
105,0.863855421686747,,,,,0.7464269248501614,0.9000436967445925,0.8807115063924402,,,,,0.20374707259953162,,0.7005894783672562,,0.6860103626943005
106,0.4404332129963899,,,0.6892190957951312,,0.0,0.966176370907612,,,0.0,,,,0.0,0.8804696449026346,,0.9608832807570978
107,0.9398891966759003,,,,,0.6945678168773488,0.8513711883632481,,,,,,0.4562751555067691,,0.8562579013906447,,0.5620767494356659
108,0.577626389386877,,,,,0.714660622688775,0.8158652619299332,0.5037475345167652,,,,0.0,0.0,,0.26001602564102566,,0.5975271259147111
109,0.7667484187427391,,,,,0.49528235459794395,0.8491468827625525,0.0,,,,,0.1583590648434054,,0.40270864683412433,,0.40554156171284633
110,0.43973098810139677,,,,,0.1485063399957017,0.8641890593692532,0.0,,,,,,0.3870967741935484,0.8068872383524646,,0.9686556768052008
111,0.9244629244629244,,,,,0.41524616199047115,0.8538910291689599,,,,,,0.22118380062305296,,0.8733236387138471,,0.9111057865101234
